DATE(CREATED_AT),COUNT(ID)
2025-07-18,110313
2025-09-06,76214
2025-09-16,185670
2025-08-25,222127
2024-04-16,140192
2024-03-23,78411
2024-03-21,118491
2024-02-07,82100
2024-01-28,75945
2024-03-28,103202
2024-01-20,39057
2024-02-27,81970
2024-03-17,95211
2024-01-12,74718
2024-04-19,183479
2024-02-08,78298
2024-04-28,145641
2024-05-06,312196
2024-05-09,122150
2024-05-14,185674
2024-05-18,88415
2024-06-03,284983
2024-07-11,153689
2024-07-14,104259
2024-07-31,223396
2024-08-28,161789
2024-09-01,170770
2024-09-12,167630
2024-09-26,125066
2024-10-27,94362
2024-11-20,199902
2024-11-27,313890
2024-12-03,342457
2024-12-08,206601
2024-12-23,100621
2024-12-27,211708
2025-01-16,159248
2025-02-04,208555
2025-03-08,57797
2025-04-23,157865
2025-05-07,203600
2025-05-29,96707
2025-06-03,209022
2025-06-25,162570
2025-07-14,198499
2024-01-11,85843
2024-01-30,86530
2024-07-04,208780
2024-07-10,147901
2024-07-13,76007
2024-09-09,241020
2024-09-19,125801
2024-11-24,205155
2025-01-14,179881
2025-01-30,147406
2025-02-18,149787
2025-02-26,136640
2025-04-20,77336
2025-05-13,157563
2025-06-10,210121
2025-06-14,62192
2025-06-26,161193
2025-07-16,141695
2025-07-20,85134
2025-08-07,171535
2025-08-08,153545
2025-08-21,158111
2025-08-31,127800
2025-04-02,161545
2024-03-25,157510
2024-02-11,63780
2024-03-24,102915
2024-03-26,125162
2024-01-22,121543
2024-04-06,56029
2024-02-25,70297
2024-02-10,35971
2024-02-02,79336
2024-01-09,102847
2024-01-18,79538
2024-04-18,179668
2024-02-21,77353
2024-04-29,243872
2024-06-02,139784
2024-06-12,195651
2024-06-30,135446
2024-07-07,149444
2024-08-13,190961
2024-09-11,178957
2024-09-15,126525
2024-09-20,98707
2024-09-21,51118
2024-11-03,112745
2024-11-15,150369
2024-12-13,249003
2025-01-13,226797
2025-01-19,112860
2025-02-07,134399
2025-03-09,100296
2025-03-16,100305
2025-04-06,103403
2025-04-09,155515
2025-04-13,103199
2025-04-17,73836
2025-04-24,146937
2025-04-26,65047
2025-04-30,183851
2025-05-16,124260
2025-05-21,152933
2025-07-10,136038
2025-07-13,91000
2025-08-01,171252
2025-08-09,63931
2025-08-12,174135
2025-08-19,164208
2025-08-23,60911
2025-09-19,19707
2024-02-19,103461
2024-05-19,100645
2024-05-24,148878
2024-05-30,186851
2024-06-18,202347
2024-08-11,149206
2024-10-11,139121
2024-11-05,174798
2024-12-12,290205
2025-02-10,206017
2025-03-24,206633
2025-05-02,168451
2025-05-09,142070
2025-05-27,163531
2025-06-09,134941
2025-06-12,150221
2025-08-04,260317
2025-09-02,234744
2025-09-14,117457
2025-09-18,133513
2024-10-03,158745
2025-02-20,134612
2025-05-23,132098
